stu_id,site_id,abs_date,grade,schoolyr,absence_days
67012748,67_67399_5136971,1/21/25,1,2024-2025,1
67012748,67_67399_5136971,1/6/25,1,2024-2025,1
67012748,67_67399_5136971,1/7/25,1,2024-2025,1
67012748,67_67399_5136971,1/8/25,1,2024-2025,1
67012748,67_67399_5136971,3/20/25,1,2024-2025,1
67012748,67_67399_5136971,3/21/25,1,2024-2025,1
67012748,67_67399_5136971,3/3/25,1,2024-2025,1
67012748,67_67399_5136971,6/4/25,1,2024-2025,1
67012749,67_67399_5136971,1/23/25,1,2024-2025,1
67012749,67_67399_5136971,10/28/24,1,2024-2025,1
67012749,67_67399_5136971,11/5/24,1,2024-2025,1
67012749,67_67399_5136971,3/10/25,1,2024-2025,1
67012749,67_67399_5136971,3/21/25,1,2024-2025,1
67012749,67_67399_5136971,5/12/25,1,2024-2025,1
67012749,67_67399_5136971,6/4/25,1,2024-2025,1
67012749,67_67399_5136971,9/11/24,1,2024-2025,1
67012749,67_67399_5136971,9/9/24,1,2024-2025,1
67012751,67_67399_5136971,1/21/25,1,2024-2025,1
67012751,67_67399_5136971,1/22/25,1,2024-2025,1
67012751,67_67399_5136971,6/5/25,1,2024-2025,1
67012752,67_67399_5136971,1/10/25,1,2024-2025,1
67012752,67_67399_5136971,10/11/24,1,2024-2025,1
67012752,67_67399_5136971,10/21/24,1,2024-2025,1
67012752,67_67399_5136971,12/11/24,1,2024-2025,1
67012752,67_67399_5136971,12/12/24,1,2024-2025,1
67012752,67_67399_5136971,12/13/24,1,2024-2025,1
67012752,67_67399_5136971,12/16/24,1,2024-2025,1
67012752,67_67399_5136971,12/20/24,1,2024-2025,1
67012752,67_67399_5136971,12/4/24,1,2024-2025,1
67012752,67_67399_5136971,12/5/24,1,2024-2025,1
67012752,67_67399_5136971,2/12/25,1,2024-2025,1
67012752,67_67399_5136971,2/13/25,1,2024-2025,1
67012752,67_67399_5136971,2/14/25,1,2024-2025,1
67012752,67_67399_5136971,3/12/25,1,2024-2025,1
67012752,67_67399_5136971,3/14/25,1,2024-2025,1
67012752,67_67399_5136971,3/21/25,1,2024-2025,1
67012752,67_67399_5136971,4/4/25,1,2024-2025,1
67012752,67_67399_5136971,5/19/25,1,2024-2025,1
67012752,67_67399_5136971,5/23/25,1,2024-2025,1
67012752,67_67399_5136971,5/5/25,1,2024-2025,1
67012752,67_67399_5136971,6/5/25,1,2024-2025,1
67012752,67_67399_5136971,8/19/24,1,2024-2025,1
67012752,67_67399_5136971,9/16/24,1,2024-2025,1
67012752,67_67399_5136971,9/23/24,1,2024-2025,1
67012752,67_67399_5136971,9/30/24,1,2024-2025,1
67012752,67_67399_5136971,9/6/24,1,2024-2025,1
67012752,67_67399_5136971,9/9/24,1,2024-2025,1
67012753,67_67399_5136971,11/1/24,1,2024-2025,1
67012754,67_67399_5136971,3/13/25,1,2024-2025,1
67012754,67_67399_5136971,3/14/25,1,2024-2025,1
67012755,67_67399_5136971,10/7/24,1,2024-2025,1
67012755,67_67399_5136971,11/8/24,1,2024-2025,1
67012755,67_67399_5136971,2/4/25,1,2024-2025,1
67012755,67_67399_5136971,3/21/25,1,2024-2025,1
67012755,67_67399_5136971,4/15/25,1,2024-2025,1
67012755,67_67399_5136971,4/16/25,1,2024-2025,1
67012755,67_67399_5136971,9/16/24,1,2024-2025,1
67012756,67_67399_5136971,10/31/24,1,2024-2025,1
67012758,67_67399_5136971,11/1/24,1,2024-2025,1
67012758,67_67399_5136971,11/19/24,1,2024-2025,1
67012758,67_67399_5136971,12/20/24,1,2024-2025,1
67012758,67_67399_5136971,3/14/25,1,2024-2025,1
67012758,67_67399_5136971,5/12/25,1,2024-2025,1
67012758,67_67399_5136971,5/5/25,1,2024-2025,1
67012758,67_67399_5136971,6/5/25,1,2024-2025,1
67012759,67_67399_5136971,1/21/25,1,2024-2025,1
67012759,67_67399_5136971,1/22/25,1,2024-2025,1
67012759,67_67399_5136971,1/23/25,1,2024-2025,1
67012759,67_67399_5136971,1/24/25,1,2024-2025,1
67012759,67_67399_5136971,1/27/25,1,2024-2025,1
67012759,67_67399_5136971,1/28/25,1,2024-2025,1
67012759,67_67399_5136971,10/15/24,1,2024-2025,1
67012759,67_67399_5136971,10/28/24,1,2024-2025,1
67012759,67_67399_5136971,10/3/24,1,2024-2025,1
67012759,67_67399_5136971,10/4/24,1,2024-2025,1
67012759,67_67399_5136971,11/1/24,1,2024-2025,1
67012759,67_67399_5136971,11/18/24,1,2024-2025,1
67012759,67_67399_5136971,11/22/24,1,2024-2025,1
67012759,67_67399_5136971,3/14/25,1,2024-2025,1
67012759,67_67399_5136971,3/17/25,1,2024-2025,1
67012759,67_67399_5136971,3/24/25,1,2024-2025,1
67012759,67_67399_5136971,4/11/25,1,2024-2025,1
67012759,67_67399_5136971,4/2/25,1,2024-2025,1
67012759,67_67399_5136971,4/3/25,1,2024-2025,1
67012759,67_67399_5136971,4/4/25,1,2024-2025,1
67012759,67_67399_5136971,5/16/25,1,2024-2025,1
67012759,67_67399_5136971,6/2/25,1,2024-2025,1
67012759,67_67399_5136971,6/4/25,1,2024-2025,1
67012759,67_67399_5136971,9/16/24,1,2024-2025,1
67012760,67_67399_5136971,12/2/24,1,2024-2025,1
67012760,67_67399_5136971,12/3/24,1,2024-2025,1
67012760,67_67399_5136971,12/4/24,1,2024-2025,1
67012760,67_67399_5136971,12/6/24,1,2024-2025,1
67012760,67_67399_5136971,2/3/25,1,2024-2025,1
67012760,67_67399_5136971,3/13/25,1,2024-2025,1
67012760,67_67399_5136971,3/14/25,1,2024-2025,1
67012760,67_67399_5136971,4/11/25,1,2024-2025,1
67012760,67_67399_5136971,5/19/25,1,2024-2025,1
67012760,67_67399_5136971,5/28/25,1,2024-2025,1
67012760,67_67399_5136971,5/5/25,1,2024-2025,1
67012760,67_67399_5136971,5/9/25,1,2024-2025,1
67012760,67_67399_5136971,6/5/25,1,2024-2025,1
67012761,67_67399_5136971,1/22/25,1,2024-2025,1
67012761,67_67399_5136971,1/6/25,1,2024-2025,1
67012761,67_67399_5136971,11/13/24,1,2024-2025,1
67012761,67_67399_5136971,2/3/25,1,2024-2025,1
67012761,67_67399_5136971,2/7/25,1,2024-2025,1
67012761,67_67399_5136971,3/10/25,1,2024-2025,1
67012761,67_67399_5136971,4/4/25,1,2024-2025,1
67012761,67_67399_5136971,5/2/25,1,2024-2025,1
67012762,67_67399_5136971,11/19/24,1,2024-2025,1
67012762,67_67399_5136971,8/28/24,1,2024-2025,1
67012762,67_67399_5136971,8/29/24,1,2024-2025,1
67012762,67_67399_5136971,8/30/24,1,2024-2025,1
67012762,67_67399_5136971,9/3/24,1,2024-2025,1
67012763,67_67399_5136971,1/15/25,1,2024-2025,1
67012763,67_67399_5136971,10/14/24,1,2024-2025,1
67012763,67_67399_5136971,10/21/24,1,2024-2025,1
67012763,67_67399_5136971,10/22/24,1,2024-2025,1
67012763,67_67399_5136971,10/29/24,1,2024-2025,1
67012763,67_67399_5136971,11/12/24,1,2024-2025,1
67012763,67_67399_5136971,11/5/24,1,2024-2025,1
67012763,67_67399_5136971,12/12/24,1,2024-2025,1
67012763,67_67399_5136971,12/2/24,1,2024-2025,1
67012763,67_67399_5136971,2/18/25,1,2024-2025,1
67012763,67_67399_5136971,2/21/25,1,2024-2025,1
67012763,67_67399_5136971,2/4/25,1,2024-2025,1
67012763,67_67399_5136971,3/10/25,1,2024-2025,1
67012763,67_67399_5136971,3/11/25,1,2024-2025,1
67012763,67_67399_5136971,3/12/25,1,2024-2025,1
67012763,67_67399_5136971,3/13/25,1,2024-2025,1
67012763,67_67399_5136971,3/14/25,1,2024-2025,1
67012763,67_67399_5136971,3/18/25,1,2024-2025,1
67012763,67_67399_5136971,3/19/25,1,2024-2025,1
67012763,67_67399_5136971,3/26/25,1,2024-2025,1
67012763,67_67399_5136971,3/5/25,1,2024-2025,1
67012763,67_67399_5136971,3/6/25,1,2024-2025,1
67012763,67_67399_5136971,3/7/25,1,2024-2025,1
67012763,67_67399_5136971,4/14/25,1,2024-2025,1
67012763,67_67399_5136971,4/28/25,1,2024-2025,1
67012763,67_67399_5136971,5/21/25,1,2024-2025,1
67012763,67_67399_5136971,6/5/25,1,2024-2025,1
67012763,67_67399_5136971,8/23/24,1,2024-2025,1
67012763,67_67399_5136971,9/13/24,1,2024-2025,1
67012763,67_67399_5136971,9/19/24,1,2024-2025,1
67012763,67_67399_5136971,9/23/24,1,2024-2025,1
67012764,67_67399_5136971,1/17/25,1,2024-2025,1
67012765,67_67399_5136971,11/1/24,1,2024-2025,1
67012765,67_67399_5136971,11/21/24,1,2024-2025,1
67012765,67_67399_5136971,11/22/24,1,2024-2025,1
67012765,67_67399_5136971,3/13/25,1,2024-2025,1
67012765,67_67399_5136971,3/14/25,1,2024-2025,1
67012765,67_67399_5136971,3/27/25,1,2024-2025,1
67012765,67_67399_5136971,3/28/25,1,2024-2025,1
67012766,67_67399_5136971,1/17/25,1,2024-2025,1
67012766,67_67399_5136971,10/10/24,1,2024-2025,1
67012766,67_67399_5136971,10/9/24,1,2024-2025,1
67012766,67_67399_5136971,11/20/24,1,2024-2025,1
67012766,67_67399_5136971,11/21/24,1,2024-2025,1
67012766,67_67399_5136971,11/22/24,1,2024-2025,1
67012766,67_67399_5136971,2/14/25,1,2024-2025,1
67012766,67_67399_5136971,3/12/25,1,2024-2025,1
67012766,67_67399_5136971,3/13/25,1,2024-2025,1
67012766,67_67399_5136971,3/17/25,1,2024-2025,1
67012766,67_67399_5136971,4/2/25,1,2024-2025,1
67012766,67_67399_5136971,5/19/25,1,2024-2025,1
67012766,67_67399_5136971,5/9/25,1,2024-2025,1
67012766,67_67399_5136971,9/4/24,1,2024-2025,1
67012767,67_67399_5136971,3/13/25,1,2024-2025,1
67012767,67_67399_5136971,3/14/25,1,2024-2025,1
67012767,67_67399_5136971,4/16/25,1,2024-2025,1
67012768,67_67399_5136971,1/6/25,1,2024-2025,1
67012768,67_67399_5136971,10/23/24,1,2024-2025,1
67012768,67_67399_5136971,11/18/24,1,2024-2025,1
67012768,67_67399_5136971,12/10/24,1,2024-2025,1
67012768,67_67399_5136971,12/6/24,1,2024-2025,1
67012768,67_67399_5136971,12/9/24,1,2024-2025,1
67012768,67_67399_5136971,3/10/25,1,2024-2025,1
67012768,67_67399_5136971,5/30/25,1,2024-2025,1
67012769,67_67399_5136971,10/7/24,1,2024-2025,1
67012769,67_67399_5136971,10/8/24,1,2024-2025,1
67012769,67_67399_5136971,10/9/24,1,2024-2025,1
67012769,67_67399_5136971,11/18/24,1,2024-2025,1
67012769,67_67399_5136971,11/19/24,1,2024-2025,1
67012769,67_67399_5136971,11/20/24,1,2024-2025,1
67012769,67_67399_5136971,12/18/24,1,2024-2025,1
67012769,67_67399_5136971,2/24/25,1,2024-2025,1
67012769,67_67399_5136971,2/25/25,1,2024-2025,1
67012769,67_67399_5136971,2/3/25,1,2024-2025,1
67012769,67_67399_5136971,3/14/25,1,2024-2025,1
67012769,67_67399_5136971,3/17/25,1,2024-2025,1
67012769,67_67399_5136971,4/11/25,1,2024-2025,1
67012769,67_67399_5136971,5/5/25,1,2024-2025,1
