site_id,section_id,course_name,period,term_code,staff_id,grade_level
67_67399_5136980,7651-70,PE I,7,2S,T4021997,0
67_67399_5136971,1 BC-SI-03,1st Grade,1,YR,T4021760,1
67_67399_5136971,1 BC-SI-04,1st Grade,1,YR,T4021688,1
67_67399_5136972,1 CC-SI-34,1st Grade,1,YR,T4021928,1
67_67399_5136972,1 CC-SI-37,1st Grade,1,YR,T4021709,1
67_67399_5136972,1 CC-SI-39,1st Grade,1,YR,T4021689,1
67_67399_5136972,1 CC-SI-40,1st Grade,1,YR,T4021866,1
67_67399_5136973,1 DL-SI-23,1st Grade,1,YR,T4021722,1
67_67399_5136973,1DL-SI-T13,1st Grade,1,YR,T4022006,1
67_67399_5136974,1JN-SI-11,1st Grade,1,YR,T4022031,1
67_67399_5136974,1JN-SI-12,1st Grade,1,YR,T4022016,1
67_67399_5136975,1 KG-SI-03,1st Grade,1,YR,T4021974,1
67_67399_5136975,1 KG-SI-05,1st Grade,1,YR,T4021986,1
67_67399_5136976,1MS-SI-16,1st Grade,1,YR,T4022029,1
67_67399_5136976,1MS-SI-17,1st Grade,1,YR,T4021924,1
67_67399_5136977,1 RD-SI-20,1st Grade,1,YR,T4021935,1
67_67399_5136977,1 RD-SI-21,1st Grade,1,YR,T4021894,1
67_67399_5136977,1 RD-SI-22,1st Grade,1,YR,T4021888,1
67_67399_5136977,1 RD-SI-23,1st Grade,1,YR,T4021914,1
67_67399_5136971,K-1 BC SAI,Specialized.Acad.Instr.,1,YR,T4021837,1
67_67399_5136975,TK-1 KG-SAI,Specialized.Acad.Instr.,1,YR,T4021931,1
67_67399_5136977,TK-1RD SAI,Specialized.Acad.Instr.,1,YR,T4022026,1
67_67399_5136971,2 BC-SI-07,2nd Grade,1,YR,T4021743,2
67_67399_5136971,2 BC-SI-12,2nd Grade,1,YR,T4021773,2
67_67399_5136972,2 CC-SI-30,2nd Grade,1,YR,T4021753,2
67_67399_5136972,2 CC-SI-31,2nd Grade,1,YR,T4021857,2
67_67399_5136972,2 CC-SI-32,2nd Grade,1,YR,T4021862,2
67_67399_5136972,2 CC-SI-35,2nd Grade,1,YR,T4021920,2
67_67399_5136973,2 DL-SI-T5,2nd Grade,1,YR,T4022015,2
67_67399_5136973,2 DL-SI-T7,2nd Grade,1,YR,T4021707,2
