site_id,site_acronyms,site_name,site_address,sitecity,sitestate,sitezip,prnfirstn,prnlastn,email,phone,site_type,site_code
67_67399_5136971,AES,Adams Elementary School,100 Wayne Manor Drive,Gotham City,NJ,10001,Olivia,Carr,olivia.carr@gotham.org,5557683910,ES,1
67_67399_5136972,GES,Grayson Elementary School,245 Crime Alley Avenue,Gotham City,NJ,10002,Liam,Anderson,liam.anderson@gotham.org,5557686434,ES,2
67_67399_5136973,SES,Sunrise Elementary School,78 Arkham Road,Gotham City,NJ,10003,Sophia,Ramirez,sophia.ramirez@gotham.org,5557683827,ES,3
67_67399_5136974,PES,Pennyworth Elementary School,512 Park Row Street,Gotham City,NJ,10004,Noah,Bennett,noah.bennett@gotham.org,5557683845,ES,4
67_67399_5136975,FES,Fox Elementary School,33 Robinson Heights Blvd,Gotham City,NJ,10005,Emma,Hayes,emma.hayes@gotham.org,5557683812,ES,5
67_67399_5136976,RES,Robinson Elementary School,901 Gotham Harbor Lane,Gotham City,NJ,10006,Lucas,Hernandez,lucas.hernandez@gotham.org,5557683932,ES,6
67_67399_5136977,MES,Maple Grove Elementary School,456 Diamond District Way,Gotham City,NJ,10007,Isabella,Johnson,isabella.johnson@gotham.org,5557683887,ES,7
67_67399_5136978,CJH,Central Junior High School,777 Monarch Theater Plaza,Gotham City,NJ,10010,Ethan,Reaves,ethan.reaves@gotham.org,5557683959,MS,8
67_67399_5136979,AJH,Arkham Junior High School,68 Burnley Street,Gotham City,NJ,10011,Mia,Sullivan,mia.sullivan@gotham.org,5557683818,MS,9
67_67399_5136980,GHS,Gotham High School,220 Bat Signal Circle,Gotham City,NJ,10008,Ava,Smith,ava.smith@gotham.org,5557683947,HS,10
67_67399_5136980,GHS,Gotham High School,220 Bat Signal Circle,Gotham City,NJ,10008,Ava,Smith,ava.smith@gotham.org,5557683947,HS,11
67_67399_5136981,WHS,Wayne High School,145 East End Avenue,Gotham City,NJ,10009,Jackson,Rivera,jackson.rivera@gotham.org,5557683984,HS,12
