site_id,course_name,section_id,course_id,college_dept,deptartment,credits,max_students,grade_level
67_67399_5136971,1st Grade,1 BC-SI-03,G01,,Elementary Department Code,0,24,1
67_67399_5136971,1st Grade,1 BC-SI-04,G01,,Elementary Department Code,0,24,1
67_67399_5136971,Specialized.Acad.Instr.,1-3 BC SAI,SAI,,General,0,15,
67_67399_5136971,2nd Grade,2 BC-SI-06,G02,,Elementary Department Code,0,24,2
67_67399_5136971,2nd Grade,2 BC-SI-07,G02,,Elementary Department Code,0,24,2
67_67399_5136971,2nd Grade,2 BC-SI-12,G02,,Elementary Department Code,0,24,2
67_67399_5136971,3rd Grade,3 BC-SI-5,G03,,Elementary Department Code,0,24,3
67_67399_5136971,3rd Grade,3 BC-SI-8,G03,,Elementary Department Code,0,24,3
67_67399_5136971,4th Grade,4 BC-SI-16,G04,,Elementary Department Code,0,33,4
67_67399_5136971,4th Grade,4 BC-SI-22,G04,,Elementary Department Code,0,33,4
67_67399_5136971,Specialized.Acad.Instr.,4-6 BC-SAI,SAI,,General,0,24,
67_67399_5136971,5th Grade,5-BC-SI-17,G05,,Elementary Department Code,0,33,5
67_67399_5136971,5th Grade,5BC-SI-20,G05,,Elementary Department Code,0,33,5
67_67399_5136971,6th Grade,6 BC-SI-18,G06,,Elementary Department Code,0,33,6
67_67399_5136971,6th Grade,6 BC-SI-19,G06,,Elementary Department Code,0,33,6
67_67399_5136971,Kindergarten,K BC-SI-1,G0K,,Elementary Department Code,0,24,KN
67_67399_5136971,Kindergarten,K BC-SI-2,G0K,,Elementary Department Code,0,24,KN
67_67399_5136971,Specialized.Acad.Instr.,K-1 BC SAI,SAI,,General,0,10,
67_67399_5136971,Transitional Kinder,TKBC-SI-12,TK,,Elementary Department Code,0,24,TK
67_67399_5136972,1st Grade,1 CC-SI-34,G01,,Elementary Department Code,0,24,1
67_67399_5136972,1st Grade,1 CC-SI-37,G01,,Elementary Department Code,0,24,1
67_67399_5136972,1st Grade,1 CC-SI-39,G01,,Elementary Department Code,0,24,1
67_67399_5136972,1st Grade,1 CC-SI-40,G01,,Elementary Department Code,0,24,1
67_67399_5136972,Specialized.Acad.Instr.,1-3 CC-SAI-33,SAI,,General,0,24,
67_67399_5136972,1st Grade,1-CC-SI-36,G01,,Elementary Department Code,0,24,1
67_67399_5136972,2nd Grade,2 CC-SI-30,G02,,Elementary Department Code,0,24,2
67_67399_5136972,2nd Grade,2 CC-SI-31,G02,,Elementary Department Code,0,24,2
67_67399_5136972,2nd Grade,2 CC-SI-32,G02,,Elementary Department Code,0,24,2
67_67399_5136972,2nd Grade,2 CC-SI-35,G02,,Elementary Department Code,0,24,2
67_67399_5136972,3rd Grade,3 CC-SI-18,G03,,Elementary Department Code,0,24,3
67_67399_5136972,3rd Grade,3 CC-SI-23,G03,,Elementary Department Code,0,24,3
67_67399_5136972,3rd Grade,3 CC-SI-27,G03,,Elementary Department Code,0,24,3
67_67399_5136972,3rd Grade,3 CC-SI-28,G03,,Elementary Department Code,0,24,3
67_67399_5136972,3rd Grade,3 CC-SI-29,G03,,Elementary Department Code,0,24,3
67_67399_5136972,4th Grade,4 CC-SI-14,G04,,Elementary Department Code,0,33,4
67_67399_5136972,4th Grade,4 CC-SI-19,G04,,Elementary Department Code,0,33,4
67_67399_5136972,4th Grade,4 CC-SI-20,G04,,Elementary Department Code,0,33,4
67_67399_5136972,4th Grade,4 CC-SI-21,G04,,Elementary Department Code,0,33,4
67_67399_5136972,Specialized.Acad.Instr.,4-6 CC SAI,SAI,,General,0,24,
67_67399_5136972,4th Grade,4-CC-SI-18,G04,,Elementary Department Code,0,33,4
67_67399_5136972,5th Grade,5 CC-SI-11,G05,,Elementary Department Code,0,33,5
67_67399_5136972,5th Grade,5 CC-SI-12,G05,,Elementary Department Code,0,33,5
67_67399_5136972,5th Grade,5 CC-SI-13,G05,,Elementary Department Code,0,33,5
67_67399_5136972,5th Grade,5 CC-SI-14,G05,,Elementary Department Code,0,33,5
67_67399_5136972,6th Grade,6 CC-SI-08,G06,,Elementary Department Code,0,33,6
67_67399_5136972,6th Grade,6 CC-SI-09,G06,,Elementary Department Code,0,33,6
67_67399_5136972,6th Grade,6 CC-SI-15,G06,,Elementary Department Code,0,33,6
67_67399_5136972,Kindergarten,K CC-SI-03,G0K,,Elementary Department Code,0,24,KN
67_67399_5136972,Kindergarten,K CC-SI-04,G0K,,Elementary Department Code,0,24,KN
67_67399_5136972,Kindergarten,K CC-SI-05,G0K,,Elementary Department Code,0,24,KN
67_67399_5136972,Specialized.Acad.Instr.,K-3 CC-SAI-ESN-26,SAI,,General,0,24,
67_67399_5136972,Transitional Kinder,T CC-SI-01,TK,,Elementary Department Code,0,24,TK
67_67399_5136972,Transitional Kinder,T CC-SI-06,TK,,Elementary Department Code,0,24,TK
67_67399_5136972,Specialized.Acad.Instr.,TK-2 CC-SAI-02,SAI,,General,0,15,
67_67399_5136973,1st Grade,1 DL-SI-23,G01,,Elementary Department Code,0,24,1
67_67399_5136973,Specialized.Acad.Instr.,1-3 DL-SAI-52,SAI,,General,0,30,
67_67399_5136973,1st Grade,1DL-DI-T12,G01,,Elementary Department Code,0,24,1
67_67399_5136973,1st Grade,1DL-DI-T13,G01,,Elementary Department Code,0,24,1
67_67399_5136973,1st Grade,1DL-SI-T13,G01,,Elementary Department Code,0,24,1
67_67399_5136973,2nd Grade,2 DL-SI-T5,G02,,Elementary Department Code,0,24,2
67_67399_5136973,2nd Grade,2 DL-SI-T7,G02,,Elementary Department Code,0,24,2
67_67399_5136973,2nd Grade,2 DL-SI-T8,G02,,Elementary Department Code,0,24,2
67_67399_5136973,3rd Grade,3 DL-SI-22,G03,,Elementary Department Code,0,24,3
67_67399_5136973,3rd Grade,3 DL-SI-23,G03,,Elementary Department Code,0,24,3
67_67399_5136973,3rd Grade,3 DL-SI-24,G03,,Elementary Department Code,0,24,3
67_67399_5136973,4th Grade,4 DL-SI-32,G04,,Elementary Department Code,0,33,4
67_67399_5136973,4th Grade,4 DL-SI-33,G04,,Elementary Department Code,0,33,4
67_67399_5136973,4th Grade,4 DL-SI-34,G04,,Elementary Department Code,0,33,4
67_67399_5136973,Specialized.Acad.Instr.,4-6 DL-SAI-51,SAI,,General,0,30,
67_67399_5136973,5th Grade,5 DL-SI-42,G05,,Elementary Department Code,0,33,5
67_67399_5136973,5th Grade,5 DL-SI-43,G05,,Elementary Department Code,0,33,5
67_67399_5136973,5th Grade,5 DL-SI-44,G05,,Elementary Department Code,0,33,5
67_67399_5136973,6th Grade,6 DL-SI-54,G06,,Elementary Department Code,0,33,6
67_67399_5136973,6th Grade,6 DL-SI-55,G06,,Elementary Department Code,0,33,6
67_67399_5136973,6th Grade,6 DL-SI-56,G06,,Elementary Department Code,0,33,6
67_67399_5136973,Kindergarten,K DL-DI-K1,G0K,,Elementary Department Code,0,24,KN
67_67399_5136973,Kindergarten,K DL-DI-K4,G0K,,Elementary Department Code,0,24,KN
67_67399_5136973,Kindergarten,K DL-SI-12,G0K,,Elementary Department Code,0,24,KN
67_67399_5136973,Transitional Kinder,T DL-DI-K2,TK,,Elementary Department Code,0,24,TK
67_67399_5136973,Transitional Kinder,T DL-DI-T10,TK,,Elementary Department Code,0,24,TK
67_67399_5136974,Specialized.Acad.Instr.,1-3JN-SAI-2,SAI,,General,0,20,
67_67399_5136974,1st Grade,1JN-SI-11,G01,,Elementary Department Code,0,24,1
67_67399_5136974,1st Grade,1JN-SI-12,G01,,Elementary Department Code,0,24,1
67_67399_5136974,1st Grade,1JN-SI-13,G01,,Elementary Department Code,0,24,1
67_67399_5136974,1st Grade,1JN-SI-33,G01,,Elementary Department Code,0,24,1
67_67399_5136974,2nd Grade,2JN-SI-08,G02,,Elementary Department Code,0,24,2
67_67399_5136974,2nd Grade,2JN-SI-09,G02,,Elementary Department Code,0,24,2
67_67399_5136974,2nd Grade,2JN-SI-19,G02,,Elementary Department Code,0,24,2
67_67399_5136974,3rd Grade,3JN-SI-03,G03,,Elementary Department Code,0,24,3
67_67399_5136974,3rd Grade,3JN-SI-04,G03,,Elementary Department Code,0,24,3
67_67399_5136974,3rd Grade,3JN-SI-05,G03,,Elementary Department Code,0,24,3
67_67399_5136974,3rd Grade,3JN-SI-07,G03,,Elementary Department Code,0,24,3
67_67399_5136974,3rd Grade,3JN-SI-08,G03,,Elementary Department Code,0,24,3
67_67399_5136974,Specialized.Acad.Instr.,4-6JN-SAI-13,SAI,,General,0,25,
67_67399_5136974,Specialized.Acad.Instr.,4-6JN-SAI-22,SAI,,General,0,25,
67_67399_5136974,Specialized.Acad.Instr.,4-6JN-SAI-29,SAI,,General,0,24,
67_67399_5136974,4th Grade,4JN-SI-16,G04,,Elementary Department Code,0,33,4
67_67399_5136974,4th Grade,4JN-SI-17,G04,,Elementary Department Code,0,33,4
67_67399_5136974,4th Grade,4JN-SI-18,G04,,Elementary Department Code,0,33,4
67_67399_5136974,5th Grade,5JN-SI-14,G05,,Elementary Department Code,0,33,5
67_67399_5136974,5th Grade,5JN-SI-15,G05,,Elementary Department Code,0,33,5
67_67399_5136974,5th Grade,5JN-SI-37,G05,,Elementary Department Code,0,33,5
67_67399_5136974,6th Grade,6JN-S1-23,G06,,Elementary Department Code,0,33,6
67_67399_5136974,6th Grade,6JN-SI-20,G06,,Elementary Department Code,0,33,6
67_67399_5136974,6th Grade,6JN-SI-21,G06,,Elementary Department Code,0,33,6
67_67399_5136974,Kindergarten,KJN-SI-01,G0K,,Elementary Department Code,0,24,KN
