stu_id,site_id,incident_id,incident_date,schoolyr,incident_time,suspension_days,minor_incident,major_incident
67012757,67_67399_5136971,147377,2/26/27,2026-2027,10:00 AM,0,1,0
67012936,67_67399_5136971,146240,11/15/26,2026-2027,2:00 PM,0,1,0
67012956,67_67399_5136971,145916,10/23/26,2026-2027,12:00 PM,0,1,0
67012956,67_67399_5136971,147665,3/14/27,2026-2027,1:30 PM,0,2,0
67012961,67_67399_5136971,146243,11/15/26,2026-2027,2:00 PM,0,0,1
67012961,67_67399_5136971,146386,12/2/26,2026-2027,3:23 PM,0,1,0
67012961,67_67399_5136971,146398,12/3/26,2026-2027,11:40 AM,0,1,0
67012968,67_67399_5136971,146346,11/21/26,2026-2027,2:22 PM,0,2,0
67012976,67_67399_5136971,147909,4/1/27,2026-2027,8:20 AM,0,0,0
67013035,67_67399_5136978,145933,10/17/26,2026-2027,12:00 PM,0,0,1
67013035,67_67399_5136978,147864,3/24/27,2026-2027,3:00 PM,0,1,0
67013038,67_67399_5136978,146618,1/8/27,2026-2027,11:30 AM,0,1,0
67013067,67_67399_5136978,146755,1/17/27,2026-2027,10:17 AM,0,1,0
67013067,67_67399_5136978,148114,4/11/27,2026-2027,3:20 PM,2,0,0
67013067,67_67399_5136978,148662,5/29/27,2026-2027,2:07 PM,0,1,0
67013083,67_67399_5136978,146130,11/7/26,2026-2027,11:11 AM,0,0,1
67013089,67_67399_5136978,148112,4/11/27,2026-2027,3:20 PM,1,0,0
67013092,67_67399_5136978,147866,3/26/27,2026-2027,1:35 PM,1,0,0
67013092,67_67399_5136978,148138,4/14/27,2026-2027,3:37 PM,0,1,0
67013092,67_67399_5136978,148315,5/5/27,2026-2027,3:04 PM,0,1,1
67013264,67_67399_5136972,146327,11/21/26,2026-2027,12:48 PM,0,1,0
67013264,67_67399_5136972,146365,11/22/26,2026-2027,10:20 AM,0,1,0
67013264,67_67399_5136972,146548,12/16/26,2026-2027,1:35 PM,0,1,0
67013264,67_67399_5136972,148153,4/15/27,2026-2027,10:30 AM,0,1,0
67013265,67_67399_5136972,148525,5/16/27,2026-2027,3:19 PM,0,0,1
67013272,67_67399_5136972,145988,10/29/26,2026-2027,1:11 PM,0,1,0
67013272,67_67399_5136972,146681,1/14/27,2026-2027,11:46 AM,0,1,0
67013272,67_67399_5136972,147635,3/13/27,2026-2027,5:55 PM,0,0,1
67013272,67_67399_5136972,147615,3/13/27,2026-2027,8:28 AM,0,0,1
67013277,67_67399_5136972,147605,3/12/27,2026-2027,11:35 AM,0,1,0
67013277,67_67399_5136972,147621,3/13/27,2026-2027,12:32 PM,0,1,0
67013277,67_67399_5136972,147805,3/24/27,2026-2027,9:42 AM,0,1,0
67013277,67_67399_5136972,147954,4/3/27,2026-2027,8:50 AM,0,0,1
67013277,67_67399_5136972,148025,4/8/27,2026-2027,10:25 AM,0,1,0
67013277,67_67399_5136972,148044,4/9/27,2026-2027,11:52 AM,0,1,0
67013277,67_67399_5136972,148095,4/11/27,2026-2027,9:28 AM,0,0,1
67013277,67_67399_5136972,148141,4/14/27,2026-2027,1:30 PM,0,0,1
67013277,67_67399_5136972,148175,4/16/27,2026-2027,2:39 PM,0,0,1
67013277,67_67399_5136972,148242,4/17/27,2026-2027,1:15 PM,0,1,0
67013277,67_67399_5136972,148243,4/29/27,2026-2027,11:40 AM,0,0,1
67013277,67_67399_5136972,148314,5/5/27,2026-2027,1:27 PM,1,0,0
67013287,67_67399_5136972,148337,5/6/27,2026-2027,9:55 AM,0,0,0
67013310,67_67399_5136972,147033,2/4/27,2026-2027,1:43 PM,0,1,0
67013318,67_67399_5136972,146704,1/15/27,2026-2027,10:52 AM,0,0,1
67013318,67_67399_5136972,147032,2/4/27,2026-2027,1:37 PM,0,1,0
67013318,67_67399_5136972,147235,2/14/27,2026-2027,3:01 PM,0,1,0
67013318,67_67399_5136972,147342,2/24/27,2026-2027,3:20 PM,0,0,1
67013329,67_67399_5136972,147705,3/18/27,2026-2027,2:03 PM,0,1,0
67013329,67_67399_5136972,148336,5/6/27,2026-2027,9:55 AM,0,0,0
67013342,67_67399_5136972,146680,1/14/27,2026-2027,11:43 AM,0,1,0
